Названия;Цена;Фото;Ссылка на товар
Названия;Цена;Фото;Ссылка на товар
Сотовый телефон BRAVIS A552 Joy Max золотой;7730 сом;/images/product/40705/40705.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a552-joy-max-zolotoy
Сотовый телефон BRAVIS A552 Joy Max серый;7730 сом;/images/product/40706/40706.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a552-joy-max-seryy
Сотовый телефон BRAVIS Next черный;6370 сом;/images/product/27139/27139.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-next-chernyy
Сотовый телефон BRAVIS Trend черный;7730 сом;/images/product/27142/27142.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-trend-chernyy
Сотовый телефон BRAVIS Trend белый;7730 сом;/images/product/27143/27143.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-trend-belyy
Сотовый телефон Xiaomi Redmi 10 4/128GB серый;16990 сом-2%16720 сом;/images/product/97292/1630854310_48805900.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-10-4-128gb-seryy
Сотовый телефон Apple iPhone 12 128GB черный;69450 сом;/images/product/85005/1602711824_97292800.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-128gb-chernyy
Сотовый телефон Xiaomi Redmi 10 4/64GB серый;15110 сом;/images/product/97293/1630854442_62443400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-10-4-64gb-seryy
Сотовый телефон Philips Xenium V526 LTE синий;17740 сом;/images/product/27150/27150.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-philips-xenium-v526-lte-siniy
Сотовый телефон Xiaomi Redmi 10 4/64GB синий;15110 сом;/images/product/97294/1630854577_55077100.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-10-4-64gb-siniy
